n_neighbors,best_k,silhouette_score
5,14,0.4520045816898346
10,13,0.4687889516353607
15,12,0.48011600971221924
20,14,0.5230854749679565
30,2,0.8634282946586609
50,2,0.9165541529655457
100,2,0.9604313373565674
