user_login,cluster,umap_x,umap_y
apids,8,-2.7506382,-8.688548
aranda_ta,0,-6.620517,-7.536817
arangues,0,-9.480722,-6.6444693
ararauna,0,-9.438102,-7.1527214
argelmartha,0,-8.997359,-7.015283
argosgiampietro,5,-5.064737,-2.4554784
ari80711,6,1.5410527,-3.0706367
ariellebh,9,-7.637685,-4.4910583
arieltandello,13,-6.316053,-0.71190596
ariesphinx,1,-4.0819416,-5.8688593
arminl,8,-2.1207132,-8.296297
arperes,12,-6.2513676,-2.9311686
artemis_1138,8,-3.2639947,-7.7107563
arthur-bruck,12,-5.793367,-3.3309605
arthur31368,1,-4.9903145,-6.5403438
arthur6324,11,-1.677464,-2.1958213
arthur88047,0,-7.9764767,-7.9777355
arthur_silva_andrade,4,-6.4878592,-6.799131
arthurbitar,5,-4.319014,-1.4971558
arthurpfuri,5,-5.137224,-2.440108
arthursilva_brasil,1,-4.0561957,-5.945445
asaboniyi,8,-2.5922556,-7.3553014
ash_ash,0,-8.013551,-7.74958
ashthetree,7,-5.6247754,-10.810873
aspencaim,5,-3.9743767,-2.6460583
astorgabi,1,-4.07513,-5.8361745
augustomatheus,2,-2.9178092,-4.2787337
augustonunes,5,-4.0102353,-3.2848876
augustovetbio,5,-3.8841183,-2.59526
auro2025,3,-12.861758,-2.7361653
avanyan,11,-1.662089,-2.2380686
aviao,5,-4.3979006,-1.6627858
b7br,1,-5.021945,-6.3866057
bacurau_,4,-5.4053774,-4.570841
balbertini,10,-1.2911912,-5.432648
baldin_rafaa,5,-4.3701596,-1.6075846
barbara24460,8,-3.6517856,-8.150278
barbara83197,2,-2.2346566,-3.6137466
barbara95393,9,-8.653982,-4.441047
barbara_amaral,5,-3.9347649,-3.1571827
barbarateixeiracosta,5,-4.3212748,-1.4895173
barbosa,0,-9.508135,-6.6154165
bariza,8,-2.1691387,-8.163971
batatalherme,8,-3.3366802,-8.343703
batemanhl,1,-5.1164675,-7.382573
bauerovavajner,7,-5.3260984,-10.220981
baumspez,8,-3.451789,-8.311438
bbergmann83,7,-6.103546,-10.340064
bchica,5,-5.011169,-2.4063275
bcostanzo,10,-1.1736846,-6.0122495
be_volpi,1,-4.982504,-6.538198
bearingsouth,9,-7.8887944,-4.7189126
beashiro,8,-2.0927458,-8.268502
beatriz-maria,4,-6.1873145,-6.030888
beatriz_buzone,13,-5.9953847,-0.72318214
beatriz_garcia,8,-1.3863801,-7.410902
beatrizbedin,4,-6.440457,-5.8463397
beatrizcardenete,10,-1.3809763,-6.614198
beavisnail,7,-6.906024,-9.063503
bebelzeras,9,-7.3616185,-3.916042
becca_marcondes,6,0.3402256,-4.9096217
bella_4,2,-1.5128278,-3.6488316
benio,7,-6.908147,-9.062862
benlocco,4,-6.682986,-5.722697
bernardomussoi,8,-3.0273075,-7.389896
bernardovailati,10,-1.4795558,-6.549081
bertholdivivi,0,-9.53795,-6.516974
betenheuserfotografia,4,-4.613946,-4.495312
beth_cr,7,-5.2497673,-10.195147
bex_linnye,8,-2.6096835,-8.54127
bia_p,11,-2.7812853,-1.5916477
biancafdos,12,-6.2702117,-2.9076016
biastein,0,-8.0393715,-7.9726753
biel3,10,-1.5285815,-5.3719144
biel32496,3,-12.830489,-3.0025387
biel41835,6,0.2607982,-4.8195496
bielbirdwatcher,4,-5.0417914,-4.610004
bielreis,5,-4.562313,-3.7237754
bieo2704,10,-1.1411629,-5.8493466
biiacirino,11,-3.1266375,-2.7434964
biih1,0,-9.480273,-7.1158333
bio_logico,2,-1.5546261,-3.6363058
bio_matt,2,-3.776137,-4.619473
biogu,7,-5.9376583,-10.679988
biokarina,3,-12.351472,-2.9419894
biologiadfs,4,-5.4784317,-5.0205693
biologomessias,8,-3.2973628,-7.9093685
biopaschoal,0,-8.070667,-7.6311483
biopic,13,-6.1506014,-1.0962106
biorootses,0,-6.6531234,-7.478366
biovale-sc,7,-5.3715205,-10.361866
bisnilo,9,-8.05035,-5.306416
bizzo,1,-3.779407,-5.8373384
black_moth,10,-2.4526265,-6.1772404
blackwolf842,7,-5.6031857,-10.817561
bliplopes,6,0.99999845,-3.2994444
blondfox,5,-3.8910184,-2.9424717
bmtomotani,1,-4.9474745,-7.286157
bobuko,1,-4.7829423,-6.621496
boza2019,1,-4.8590417,-6.5971317
brazilnuts,3,-12.970911,-2.1077511
bremenkamp,12,-6.1526594,-3.5480118
brendon23617,11,-1.6671426,-2.214688
brianwilliams1,1,-5.4885054,-7.859745
brnlvr_,11,-2.8903055,-2.6170423
bru_s_alves,0,-6.6597114,-7.4737825
brudemp,3,-12.64126,-2.0577917
bruna371,0,-8.260995,-6.5832977
bruna60,10,-1.5365807,-5.3808346
bruna_antunes,1,-3.9688315,-5.8403587
bruna_tocalino,10,-2.4595792,-6.0089607
brunaksilva,1,-4.0677934,-7.563132
brunapaino,4,-5.1994557,-5.1323724
brunasantos,0,-9.316275,-6.572413
bruno15102,0,-7.5786667,-7.443171
bruno25,8,-3.1399176,-7.963412
bruno35532,10,-1.1052566,-6.0190053
bruno500,11,-2.9058893,-2.5653284
bruno680,5,-4.6454735,-4.1941795
bruno_aiello,12,-5.8628526,-3.682402
bruno_lima,3,-12.741164,-2.9800425
brunoalbertini,11,-1.6867493,-2.207387
brunocorrea,9,-7.1817727,-3.9448895
brunoguerra,3,-12.737901,-2.770024
brunojardim,0,-9.612058,-6.8509927
brunoluka,4,-5.280232,-4.4366736
brunomoller_brm,2,-2.5491276,-3.447783
brunooliani,4,-4.473554,-5.347584
brunoonurb,12,-6.1552176,-3.5062244
brunopaulo,0,-9.061714,-7.0720997
brunothedpaula,10,-1.6651545,-4.961811
brunowski,1,-5.1654606,-7.3667293
bsa_bruna,0,-9.472946,-7.102147
bschneider,4,-4.918768,-4.56368
bslvra,4,-4.6031036,-4.8936644
bstarinchak,0,-9.474972,-7.1244087
bug-eyes,1,-4.9134398,-6.5368986
bug_ecology,6,1.0203167,-3.2822528
buruno_98,0,-8.891809,-7.1380076
bzkies15,1,-4.973366,-6.4680734
cabenitez,10,-1.473384,-4.9610987
cabral154,12,-5.3353114,-3.9795847
caciano,10,-1.420201,-4.8841352
cacocardoso,6,1.452349,-3.0803864
cactusazul,3,-12.812638,-2.9391956
cadeafotoisa,4,-6.072914,-5.5503755
caf3,7,-4.853534,-9.338402
caio2642,3,-12.657428,-3.388404
caio33,8,-1.456698,-7.5291195
caio62,8,-2.4778178,-7.8014717
caio_oliveira1,12,-6.042086,-3.5429418
caio_pompeu,10,-2.538683,-5.6454062
caiogracoadventure,3,-12.594839,-3.4168568
caiolopes,6,0.2592325,-4.831122
caionalopes,12,-5.846528,-3.217676
caionassar,10,-1.5084745,-5.330303
caique12,3,-12.630264,-2.0570614
caja-manga,9,-8.052639,-5.4374895
caju,3,-12.406047,-3.10786
caline_19,0,-7.987575,-7.89249
camazine,1,-5.1894345,-7.278372
camdejong,8,-3.1323698,-8.233238
camila26394,5,-4.9987316,-2.4459095
camila574,1,-4.924302,-6.523678
camila648,12,-5.8902736,-3.4434447
camila71538,10,-2.96944,-5.9405246
camila930,10,-1.4449329,-5.340787
camila_cintra,0,-7.9246683,-7.977875
camilafernandes,3,-12.708511,-2.060521
camilaroethig,0,-8.934426,-7.1389146
camis,10,-1.7675055,-4.9909368
camoura,10,-3.2445657,-5.890008
cangurueletrico,2,-1.7882956,-3.544333
canizela,8,-3.185235,-7.9408035
capbarba,1,-4.7383037,-6.480375
capitorodrigo,8,-2.7805254,-8.747717
capybara1357,0,-8.425594,-6.935666
cardiego,11,-2.8244545,-1.6589034
carina_dust,0,-9.462561,-6.444365
carlobrescia,0,-6.6202426,-7.5529213
carlos_gabas,13,-6.0404253,-0.7864893
carloseduardospe,1,-5.3673935,-6.6132374
carlosferreira2,9,-7.3330584,-3.6736739
carloshmabreu,9,-7.093493,-5.2815933
carlospiresbr,10,-1.628705,-5.296901
carmen624,6,1.5200937,-3.061118
carol190,9,-8.09391,-5.4652963
carol1910,4,-5.4227443,-5.096885
carolete,7,-6.066991,-10.34827
carolfarhat,10,-1.5229187,-5.4205465
carolina10,8,-3.1619887,-7.939826
carolina711,10,-2.5229006,-5.713975
carolina_86,5,-4.143228,-4.3152966
carolina_franco,3,-12.648424,-2.0198948
caroline_machado,5,-3.9096274,-2.6234696
caroliniat,3,-12.716616,-2.6572173
carolinni,0,-8.864413,-7.1447473
carolmoreira,0,-8.081365,-7.6451387
caroltorres,8,-2.438534,-8.631966
carolyne1,1,-5.4859614,-7.7943482
carrieseltzer,0,-9.603271,-6.9565945
cassianosilva,7,-5.73506,-10.759734
cassim,4,-6.7836485,-5.701553
cassio14,13,-6.2013874,-1.06257
cassio14128,3,-13.177882,-2.8490558
catarine,0,-9.280687,-7.151381
cataws,7,-5.7110553,-10.900456
catazulur,2,-3.1606977,-4.239639
caua_martinelli,8,-1.3133413,-7.238504
caue_caciagli,2,-2.143311,-3.508351
cauefhillip,3,-12.70757,-2.8745444
cauoliv,9,-7.506818,-4.9206495
cavalcantir,0,-9.492197,-7.0159407
cbehan,7,-5.3468885,-10.271239
cdrstephen,8,-2.6223738,-8.562069
cebgussoni,4,-5.940991,-5.037976
cecimartins,10,-1.5286078,-5.3706965
celiamaria,8,-2.4417145,-7.297333
cesonha,8,-2.686898,-7.169454
cg_constantine,9,-7.1839223,-5.3241863
charlesavenengo,6,0.9026171,-3.3376663
chatonov,4,-5.2581754,-4.552365
chentian,3,-12.747183,-2.4982731
cheryl356,7,-5.895252,-10.639147
chicobtw,2,-2.5042028,-3.4619162
chirobru,3,-12.171127,-2.6954982
choseungyoun,7,-5.654065,-10.868372
chriscolombia,8,-2.772004,-7.22496
christian_bangerter,9,-7.642542,-4.7766023
christianature,3,-13.013114,-2.2973604
christopherspiteri,7,-5.21969,-10.125365
chriswyatt1,8,-3.0700374,-8.221655
chubbyvegan,12,-5.7903514,-3.285552
cibelecoelhoaugusto,3,-12.962146,-2.9043496
cidawerneck,8,-2.7384472,-8.737903
cientistasoutdoor,13,-6.0386724,-0.7280224
cintiabadaro,1,-4.9852114,-6.480461
