n_neighbors,best_k,silhouette_score
5,12,0.36978650093078613
10,14,0.43811073899269104
15,14,0.44892555475234985
20,12,0.45562681555747986
30,2,0.802804172039032
50,2,0.7825077176094055
100,2,0.83177250623703
