cluster,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
-1,1.0000000000000004,0.5958313323067275,0.7696711231309319,0.5617463412672161,0.7065390572983051,0.9628284157496247,0.8713576892584352,0.31813910860343336,0.7328160244497322,0.587726333758015,0.9139704863984588,0.6671111989729234,0.4665669924057728,0.7389772759274931,0.5448104538306139
0,0.5958313323067275,0.999999999999998,0.5027839833927308,0.3088249585049226,0.46843532113552167,0.5397801103311555,0.5833026953957033,0.162116846654229,0.5679057655829672,0.3884020993550305,0.5646171639796984,0.40064514169398624,0.29385366458267037,0.37586296391381424,0.29461118503059835
1,0.7696711231309319,0.5027839833927308,0.9999999999999981,0.35627570709723544,0.6367511925395367,0.723230285963575,0.6758611152485117,0.19507644332846455,0.7249682928579657,0.43140929539931616,0.6952073153825873,0.44240975153662665,0.3763130738021614,0.5154840969508532,0.3875986338277979
2,0.5617463412672161,0.3088249585049226,0.35627570709723544,1.0,0.3869696733713427,0.5757089383599664,0.5443111917620329,0.2092927046882883,0.3763459015435899,0.4389588935344698,0.5037840171569478,0.41221377906600687,0.18635564451341513,0.4155854544767354,0.3703761735829191
3,0.7065390572983051,0.46843532113552167,0.6367511925395367,0.3869696733713427,1.0,0.6780754513627665,0.6393084509770753,0.24292525552166447,0.5670874764774947,0.37519504593979114,0.6653262016728889,0.44135894204536186,0.2934342863414044,0.5459868808529829,0.3612546690149914
4,0.9628284157496247,0.5397801103311555,0.723230285963575,0.5757089383599664,0.6780754513627665,1.0000000000000007,0.8324127830777587,0.28377859889820856,0.6800458114901039,0.6645313383577931,0.8978534543688643,0.6618586048841859,0.3781373128928166,0.7095406964813241,0.5267217297383829
5,0.8713576892584352,0.5833026953957033,0.6758611152485117,0.5443111917620329,0.6393084509770753,0.8324127830777587,0.999999999999999,0.4342722700162405,0.6594823191063828,0.5961187256748701,0.81596475299679,0.653187819410627,0.4388253798813304,0.6660930718574928,0.5492721438325778
6,0.31813910860343336,0.162116846654229,0.19507644332846455,0.2092927046882883,0.24292525552166447,0.28377859889820856,0.4342722700162405,1.0,0.16994652903654645,0.20997488220992783,0.27029178876630455,0.18748499331446866,0.11148113440829992,0.2961418007566072,0.2634080517099443
7,0.7328160244497322,0.5679057655829672,0.7249682928579657,0.3763459015435899,0.5670874764774947,0.6800458114901039,0.6594823191063828,0.16994652903654645,1.0,0.4880346347116672,0.707441642017752,0.5234381679022698,0.34485685161286467,0.45745426391385113,0.37123476117036164
8,0.587726333758015,0.3884020993550305,0.43140929539931616,0.4389588935344698,0.37519504593979114,0.6645313383577931,0.5961187256748701,0.20997488220992783,0.4880346347116672,1.0000000000000002,0.6178074165231716,0.638396026612594,0.18695639584611,0.37118230756783477,0.450823434551719
9,0.9139704863984588,0.5646171639796984,0.6952073153825873,0.5037840171569478,0.6653262016728889,0.8978534543688643,0.81596475299679,0.27029178876630455,0.707441642017752,0.6178074165231716,0.9999999999999996,0.7471078271494789,0.43473822594198763,0.653245189589629,0.49584458384931185
10,0.6671111989729234,0.40064514169398624,0.44240975153662665,0.41221377906600687,0.44135894204536186,0.6618586048841859,0.653187819410627,0.18748499331446866,0.5234381679022698,0.638396026612594,0.7471078271494789,0.9999999999999994,0.22931837719014153,0.4864352458502763,0.43727685097854263
11,0.4665669924057728,0.29385366458267037,0.3763130738021614,0.18635564451341513,0.2934342863414044,0.3781373128928166,0.4388253798813304,0.11148113440829992,0.34485685161286467,0.18695639584611,0.43473822594198763,0.22931837719014153,1.0000000000000004,0.31261287914435865,0.31982596498188215
12,0.7389772759274931,0.37586296391381424,0.5154840969508532,0.4155854544767354,0.5459868808529829,0.7095406964813241,0.6660930718574928,0.2961418007566072,0.45745426391385113,0.37118230756783477,0.653245189589629,0.4864352458502763,0.31261287914435865,0.9999999999999998,0.4802848868100632
13,0.5448104538306139,0.29461118503059835,0.3875986338277979,0.3703761735829191,0.3612546690149914,0.5267217297383829,0.5492721438325778,0.2634080517099443,0.37123476117036164,0.450823434551719,0.49584458384931185,0.43727685097854263,0.31982596498188215,0.4802848868100632,0.9999999999999986
